Account,Industry,HQ,Headcount,Funding,Total Open Roles,Relevant Roles,Funding Signal,Leadership Signal,Expansion Signal,Key Signals,Why Now,Source URL
Postman,API Developer Tools,"San Francisco, CA",,No raise in the last 12 months; last disclosed round was 2021,108,13,0,0,1,"13 relevant open roles incl. Head of AI Platform Engineering, Staff Software Engineer - Fern, Staff Software Engineer - Codegen | Expansion: acquired Fern on Jan 8, 2026 and is now hiring a Staff Software Engineer dedicated to Fern in New York and San Francisco","Postman is absorbing the Fern SDK and docs codebase acquired in January and is hiring a Staff engineer specifically to carry it, plus a Codegen engineer and a Head of AI Platform Engineering. Generated SDKs across nine languages and an acquired codebase entering an established platform is a review surface that grows faster than the reviewers do.",https://boards-api.greenhouse.io/v1/boards/postman/jobs
Mercor,AI Talent and Data Marketplace,"San Francisco, CA",,"Series C, $350M, Oct 2025, led by Felicis, at a $10B valuation",85,11,1,0,1,"11 relevant open roles incl. Software Engineer - Backend, Member of Technical Staff - Backend, Software Engineer - Platform | Funding: Series C, $350M, Oct 2025, at a $10B valuation | Expansion: roles posted for San Francisco or New York City plus a dedicated New York City engineering req, indicating a second engineering location","Mercor has an open Application Security Engineer alongside a Cloud Infrastructure Security Engineer and two backend hiring tracks, which is an unusually security-forward pattern for a company this stage. They are also splitting engineering across San Francisco and New York, so review handoffs are about to get more expensive than the code itself.",https://api.ashbyhq.com/posting-api/job-board/mercor
ID.me,Digital Identity / Government Services,"McLean, VA",,"Series E, $340M total ($65M equity plus $275M credit facility), Sept 2025, at over $2B valuation, led by Ribbit Capital",47,11,1,0,0,"11 relevant open roles incl. Principal Engineer, Person and Trust Platform; Principal Engineer, Work Profiles; Staff Site Reliability Engineer; Staff Software Engineer | Funding: $340M raised Sept 2025 at over $2B valuation, led by Ribbit Capital with Ares Management and Viking Global","ID.me refreshed its entire trust and authentication engineering slate in the first week of August 2026, including two Principal Engineer reqs on the Person and Trust Platform, on the back of a $340M raise aimed squarely at AI-driven fraud. Identity code that federal and state agencies rely on cannot ship faster by adding reviewers, and every merge into the trust path is audit-relevant.",https://boards.greenhouse.io/idme
Sierra,AI Agents for Customer Experience,"San Francisco, CA",,"Series E, $950M, May 2026, led by GV and Tiger Global, at a $15.8B valuation",192,8,1,0,1,"8 relevant open roles incl. Software Engineer - Platform, Software Engineer - Infrastructure, Software Engineer - Agent Data Platform | Funding: Series E, $950M, May 2026, at a $15.8B valuation | Expansion: an Engineering Manager - Agent req in New York on an otherwise San Francisco engineering board","Sierra raised $950M in May and is opening an engineering management line in New York against an otherwise San Francisco engineering org, while standing up payments infrastructure and an identity and enterprise platform. New regulated-adjacent surfaces like payments plus a second engineering site is the moment review standards have to be made explicit rather than cultural.",https://api.ashbyhq.com/posting-api/job-board/sierra
Omada Health,Healthtech / Virtual Chronic Care,"San Francisco, CA",,,30,11,0,0,0,"11 relevant open roles incl. Staff Software Engineer; Staff Software Engineer, Data Products; Senior Software Engineer, Platform; Senior Software Engineer | Context, not counted as a signal: Omada announced a CEO transition on 6 Aug 2026, with President Wei-Li Shao becoming CEO effective 1 Jan 2027 and co-founder","Omada posted eleven senior and staff engineering reqs in a single batch on 30 July 2026, including a Senior Engineering Manager and two staff roles, and announced a CEO succession a week later. A public HIPAA-regulated company absorbing that much new engineering headcount at once, mid-leadership-transition, will feel review latency before it feels anything else.",https://boards.greenhouse.io/omadahealth
Mark43,Govtech / Public Safety Software,"New York, NY",,,32,9,0,0,1,"9 relevant open roles incl. AWS Cloud Security Operations Engineer, Manchester, Engineering Manager - Integrations | Expansion: new UK headquarters opened in Manchester at 24 Mount Street in Jan 2026, publicly launched with the Mayor of Greater Manchester and senior Greater","Mark43 opened a Manchester UK engineering hub in January 2026 and is now filling it, including an AWS Cloud Security Operations Engineer and an Integrations engineering manager. A brand new second engineering site means review load lands on a US team that has never worked with these people, in a CJIS and public-safety codebase where a bad merge is a headline.",https://boards.greenhouse.io/mark43
Grow Therapy,Healthtech / Behavioral Health,"New York, NY",,"Series D, $150M, March 2026, led by TCV and Growth Equity at Goldman Sachs Alternatives, at a $3B valuation",26,8,1,0,0,"8 relevant open roles incl. Staff Software Engineer - Developer Experience and AI Enablement, San Francisco, Senior Software Engineer - Developer Experience and AI Enablement | Funding: $150M Series D announced 3 Mar 2026 at a $3B valuation, led by TCV and Growth Equity at Goldman Sachs Alternatives with BCI and Menlo Ventures joining","Five months after a $150M Series D, Grow Therapy opened a Developer Experience and AI Enablement pod in San Francisco (staff plus senior plus an engineering manager) and two dedicated security engineering reqs. They are explicitly staffing developer throughput and security review as separate problems, in a HIPAA-regulated behavioral health platform where both land on the same pull request.",https://jobs.ashbyhq.com/Grow-Therapy
Lemonade,Insurtech,"New York, NY",,,30,10,0,0,0,"10 relevant open roles incl. Backend Engineer, Senior Backend Engineer, GenAI | Context, not counted as a signal: Lemonade reported 79 percent revenue growth in Q2 2026 and announced a CFO succession, with Nick Stead taking over from Tim","Lemonade is recruiting a Senior Director of Engineering plus six backend and platform engineers into its Tel Aviv team while revenue grew 79 percent year over year in Q2 2026. A regulated insurance carrier scaling backend headcount that fast, with a new engineering director about to reset standards, is the classic point where pull request review becomes the throughput ceiling.",https://jobs.ashbyhq.com/Lemonade
Marqeta,Payments / Card Issuing,"Oakland, CA",,,43,6,0,1,0,"6 relevant open roles incl. Principal Software Engineer, Remote USA, Staff Software Engineer - Banking and Money Movement | Leadership: Lukasz Strozek appointed Chief Technology Officer, announced 8 May 2026; Mike Milotich confirmed as permanent CEO in Sept 2025 after seven months","Marqeta brought in a new CTO in May 2026 and is now hiring a Principal Software Engineer plus two Identity Platform engineering managers. A new CTO in a PCI-scoped card issuing platform has roughly two quarters to show measurable change in delivery speed and defect escape rate, and the review layer is the usual first place to look.",https://boards.greenhouse.io/marqeta
Vercel,Developer Tools and Cloud Infrastructure,"San Francisco, CA",,"Series F, $300M, Sep 2025, co-led by Accel and GIC, at a $9.3B valuation, alongside a $300M tender offer",83,5,1,0,0,"5 relevant open roles incl. Software Engineer - Backend, Software Engineer - Deployment Infrastructure, Engineering Manager - CDN | Funding: Series F, $300M, Sep 2025, at a $9.3B valuation","Vercel is hiring a Product Security Engineer across four offices and a dedicated Internal Agent engineer at the same time, which says internal engineering leverage and security review are both live priorities rather than someday problems. Deployment infrastructure and CDN hires on a small relevant-role footprint suggest a team going deeper rather than wider, where per-change risk is high.",https://boards-api.greenhouse.io/v1/boards/vercel/jobs
