Account,Industry,HQ,Headcount,Funding,Total Open Roles,Relevant Roles,Funding Signal,Leadership Signal,Expansion Signal,Key Signals,Why Now,Source URL
Affirm,Fintech / BNPL and Payments,"San Francisco, CA",,,176,2,0,0,1,"2 code-review-relevant open roles (2 application security) of 176 on the board; staff platform roles closed this cycle | Expansion: Affirm has applied to the FDIC and the Nevada Financial Institutions Division for an industrial loan company charter to stand up Affirm Bank","Affirm is standing up a chartered bank with two active AppSec reqs; the staff platform and CI infrastructure roles closed this cycle. A de novo bank charter means every code path touching money movement and ledger now has to produce examiner-grade review evidence.",https://job-boards.greenhouse.io/affirm
Grow Therapy,Healthtech / Behavioral Health,"New York, NY",,"Series D, $150M, March 2026, led by TCV and Growth Equity at Goldman Sachs Alternatives, at a $3B valuation",5,1,1,0,0,"1 code-review-relevant open role (1 developer experience) of 5 on the board: Senior Software Engineer, Developer Experience and AI Enablement | Funding: $150M Series D announced 3 Mar 2026 at a $3B valuation, led by TCV and Growth Equity at Goldman Sachs Alternatives","Series D-funded HIPAA-regulated behavioral health platform now actively hiring a Senior DevEx and AI Enablement engineer. A behavioral health platform scaling under fresh Series D capital, where every merge into a HIPAA-scoped codebase needs explicit review coverage, is exactly when developer experience automation lands.",https://jobs.ashbyhq.com/Grow-Therapy
Postman,API Developer Tools,"San Francisco, CA",,No raise in the last 12 months; last disclosed round was 2021,108,1,0,0,1,"1 code-review-relevant open roles (1 staff platform) of 108 on the board: Member of Technical Staff, AI Platform and Architecture (Infrastructure) | Expansion: acquired Fern on Jan 8, 2026 and is now hiring a Staff Software Engineer dedicated to Fern in New York and San Francisco","Postman is absorbing the Fern SDK and docs codebase acquired in January and is hiring a Staff engineer specifically to carry it, plus a Codegen engineer and a Head of AI Platform Engineering. Generated SDKs across nine languages and an acquired codebase entering an established platform is a review surface that grows faster than the reviewers do.",https://boards-api.greenhouse.io/v1/boards/postman/jobs
Mark43,Govtech / Public Safety Software,"New York, NY",,,36,1,0,0,1,"1 code-review-relevant open roles (1 developer experience) of 36 on the board: DevOps Engineer, DevEx | Expansion: new UK headquarters opened in Manchester at 24 Mount Street in Jan 2026, publicly launched with the Mayor of Greater Manchester","Mark43 opened a Manchester UK engineering hub in January 2026 and is now filling it. A brand new second engineering site means review load lands on a US team that has never worked with these people, in a CJIS and public-safety codebase where a bad merge is a headline.",https://boards.greenhouse.io/mark43
Omada Health,Healthtech / Virtual Chronic Care,"San Francisco, CA",,,23,0,0,1,0,"No code-review-relevant open roles among 23 on the board | Leadership: CEO transition announced 6 Aug 2026 - President Wei-Li Shao named incoming CEO (effective 1 Jan 2027), co-founder Sean Duffy retiring; batch of 11 senior and staff engineering reqs posted 30 Jul 2026","Omada posted eleven senior and staff engineering reqs in a single batch on 30 July 2026, then announced a CEO succession a week later. A public HIPAA-regulated company absorbing that much new engineering headcount at once, mid-leadership-transition, will feel review latency before it feels anything else.",https://boards.greenhouse.io/omadahealth
Marqeta,Payments / Card Issuing,"Oakland, CA",,,2,0,0,1,0,"No code-review-relevant open roles; Greenhouse board returned only 2 total results this cycle (was 43 - possible API anomaly, carry prior signals) | Leadership: Lukasz Strozek appointed Chief Technology Officer, announced 8 May 2026; Mike Milotich confirmed as permanent CEO in Sept 2025 after seven months","Marqeta brought in a new CTO in May 2026; board anomaly this cycle (2 results vs 43 prior). Leadership signal and PCI-scoped card issuing platform context still live. Re-verify board next cycle before outreach.",https://boards.greenhouse.io/marqeta
Grafana Labs,Observability and Developer Infrastructure,"New York, NY",,No active funding signal (Sep 2025 ARR milestone round aged out at 12 months),134,0,0,0,1,"0 code-review-relevant open roles this cycle (Platform Productivity reqs closed); funding signal expired (Sep 2025 milestone now 12 months ago) | Expansion: Platform Productivity hiring had spanned seven countries across Europe and North America","Platform Productivity reqs closed and the Sep 2025 funding milestone has aged out. Re-engage when a new Platform Productivity or DevEx req posts.",https://boards-api.greenhouse.io/v1/boards/grafanalabs/jobs
Vanta,Security and Compliance Automation (GRC),"San Francisco, CA",,,8,1,0,0,0,"1 code-review-relevant open roles (1 developer experience) of 8 on the board: Senior Software Engineer, Developer Experience (Ashby board contracted from 85 to 8 this cycle)","Vanta's board contracted from 85 to 8 total; the DevEx engineering req is confirmed active. A GRC company whose product is audit evidence has to hold its own code to the standard it sells.",https://jobs.ashbyhq.com/vanta
CLEAR Secure,Identity Verification / Secure Credentialing,"New York, NY",,,33,1,0,0,0,"1 code-review-relevant open roles (1 application security) of 33 on the board: Senior Product Security Engineer","CLEAR is hiring two engineering directors, an infrastructure engineering manager and a Senior Product Security Engineer at the same time, while extending its identity platform into healthcare and B2B under CLEAR1. Adding review capacity through two new director orgs is exactly when review consistency and security findings start slipping, and CLEAR handles biometric and PII data where that slip is expensive.",https://boards.greenhouse.io/clear
Lemonade,Insurtech,"New York, NY",,,15,0,0,0,0,"No code-review-relevant open roles among 15 on the board: no developer-experience, application-security or staff platform reqs","Lemonade is recruiting backend and platform engineers into its Tel Aviv team while revenue grew strongly year over year. A regulated insurance carrier scaling backend headcount fast is the classic point where pull request review becomes the throughput ceiling. Re-engage when a DevEx or AppSec req posts.",https://jobs.ashbyhq.com/Lemonade
