Account,Industry,HQ,Headcount,Funding,Total Open Roles,Relevant Roles,Funding Signal,Leadership Signal,Expansion Signal,Key Signals,Why Now,Source URL
Zocdoc,,"New York, NY, USA","~1,283",,55,5,0,0,1,"5 relevant open roles incl. Staff Analytics Engineer, Staff Data Scientist (Marketplace Analytics), Senior Data Scientist (Marketing), Senior Staff Software Engineer (Data) and additional analytics role | Expansion: Announced a partnership with Yelp in April 2026 to turn Yelp healthcare searches into booked appointments; Healthgrades partnership","Five staff-level data and analytics roles and new distribution partnerships (Yelp, Healthgrades) pumping third-party funnel data into marketplace analytics. Profitable, mature marketplace with no recent raise: efficiency and simplicity arguments land well here.",https://zocdoc.com/about/news
Tubi,,"San Francisco, CA, USA",~952,,30,3,0,0,1,"3 relevant open roles incl. Director, Advanced Data & Measurement Solutions, Data Scientist, Growth Analytics, Data Scientist | Expansion: Began adding Cartoon Network and Warner Bros. library content March 1 2026 and launched a direct sales team for national advertisers","Hiring a Director of Advanced Data and Measurement Solutions signals a build-out of the ad measurement data stack, and 100M+ monthly actives on a free ad-supported service means viewership analytics at scale with real cost sensitivity. Fox subsidiary, so no funding events, but Tubi runs its own engineering org.",https://corporate.tubitv.com
Crunchyroll,,"Los Angeles, CA, USA","~2,034",,77,7,0,0,1,"7 relevant open roles incl. Staff Data Engineer, Data Engineer III, Senior Manager Data Science and ML, Director Analytics Platform and additional data roles | Expansion: Passed 21 million paid subscribers (announced May 8 2026, up from 17M a year earlier) and new country launches queued","Seven open data roles across engineering, science, and analytics leadership while subscribers grew 4M in a year and new country launches are queued; every new market adds subscriber analytics load. Sony subsidiary with its own LA-based data org actively hiring - this is a clear Hot account.",https://job-boards.greenhouse.io/crunchyroll
Brex,,"San Francisco, CA, USA","~1,858",,155,5,0,0,0,"5 relevant open roles incl. Data Analyst II (x2 SF/NY), Data Analyst III (x2 SF/NY), Data Engineer (SF/Sao Paulo) | Post Capital One acquisition closed April 2026 for roughly $2.75B; integration context persists","Five data roles across SF, NY, and Sao Paulo post-Capital One acquisition (closed April 2026 for roughly $2.75B). Data team is actively expanding but integration context adds risk; time the outreach around integration roadmap clarity.",https://job-boards.greenhouse.io/brex
Alloy,,"New York, NY, USA",~412,,20,2,0,0,1,"2 relevant open roles incl. Senior Analytics Engineer, Senior Data Scientist | Expansion: Launched its first perpetual KYB and Customer Risk Assessment orchestration solution in the UK and Europe (Jan 2026)","A 400-person identity risk platform hiring a Senior Analytics Engineer while pushing into the UK and Europe; fraud and risk decisioning generates high-volume event data on a midmarket budget. Squarely in the ICP sweet spot for size, just fewer simultaneous signals; last round was Sept 2022 so cost discipline matters.",https://job-boards.greenhouse.io/alloy
Flexport,,"San Francisco, CA, USA","~2,867",,116,1,0,0,1,"1 relevant open role: Product Data Analyst (Shanghai) | Expansion: Unveiled its Fall 2025 technology release at Flexport Forward (Oct 2025) with 25+ new AI and automation features; agentic freight execution platform","An open data analyst role and an aggressive AI product cadence across freight data, but headcount (~2,900) sits just above the ICP band and there has been no fresh capital since 2024. Watch for data platform team growth or a new data leadership hire as the trigger.",https://job-boards.greenhouse.io/flexport
Melio,,"New York, NY, USA",~693,,26,3,0,0,0,"3 relevant open roles incl. Data Scientist, Senior Data Scientist, Senior Data Analyst (all Tel Aviv; Senior Data Infra and AI Engineer req closed)","Three data roles remain but all in Tel Aviv; since Xero completed its $2.5B acquisition in October 2025 the US data team appears quiet. Monitor for US-based data roles as integration progresses.",https://job-boards.greenhouse.io/melio
StockX,,"Detroit, MI, USA","~1,500",,34,0,0,0,1,"0 relevant open roles (data analyst req closed this cycle; board has 34 total) | Expansion: Launched StockX Listings (June 2026), expanding into used sneakers and vintage apparel plus live shopping","The June 2026 move from pure bid/ask resale into general used listings and live shopping changes its data model: new inventory, pricing, and video commerce analytics. Data hiring is thin - monitor for analytics engineering or data science reqs as the model pivot takes hold.",https://job-boards.greenhouse.io/stockx
Zip,,"San Francisco, CA, USA","~1,259",,10,0,0,0,1,"0 relevant open roles (data scientist req closed; Ashby board has 10 total) | Expansion: Accelerated Canadian expansion with a new Toronto office announced November 2025, with plans to double Canada headcount","Procurement orchestration produces rich spend analytics, and the Toronto expansion (Nov 2025) plus a senior data science opening show the org is still investing; last raise was Oct 2024 (Series D, $190M) so it falls outside the funding window. Watch for analytics engineering roles to appear as the Canadian team scales.",https://jobs.ashbyhq.com/zip
Axios,,"Arlington, VA, USA",~621,,21,1,0,0,1,"1 relevant open role incl. Analytics Engineer | Expansion: Axios Local is expanding to 43 US cities by end of 2026, adding nine new communities through 2026","A live Analytics Engineer opening (the exact buyer-champion title) at a 600-person newsroom scaling a 43-city local expansion with subscriber and engagement analytics at its core. Cox subsidiary with a lean data team: a right-sized, low-ops warehouse pitch fits better here than at any enterprise shop.",https://job-boards.greenhouse.io/axios
