Account,Industry,HQ,Headcount,Funding,Total Open Roles,Relevant Roles,Funding Signal,Leadership Signal,Expansion Signal,Key Signals,Why Now,Source URL
Chelsea Building Products,Building Products (PVC Extrusion),"Oakmont, PA",~200,,5,1,0,0,1,"1 relevant open role incl. Maintenance Technician (Oakmont, PA) | Expansion: $20M conversion of a 228,000 sq ft former Westinghouse site in Westmoreland County, PA, announced Jun 2026","PVC extruder standing up a second, much larger plant and hiring a maintenance technician at the same time; new extrusion lines commissioned in 2026 to 2027 can be born with sensors instead of retrofitted.",https://chelseabuildingproducts.com/careers
Dainty Foods,Food Processing (Rice),"Windsor, ON, Canada",~85,,1,1,0,0,1,"1 relevant open role: Industrial Mechanic (Millwright) confirmed active (board at 1 total) | Expansion: Building a 250,000 sq ft rice and ready-to-heat meals plant in Ohio, announced early 2026","Millwright req reopened this cycle after closing last cycle; Canada's only rice mill doubling into a 250,000 sq ft US plant - Ohio ramp is pulling maintenance trades back. Note: current headcount (~85) is below the ICP band until the Ohio plant staffs up.",https://dainty.ca
COIM USA,Specialty Chemicals,"West Deptford, NJ (parent: COIM Group, Italy)",~200,,7,1,0,0,1,"1 relevant open role: Maintenance Supervisor (confirmed via ZipRecruiter; board at 7 total) | Expansion: $50M specialty chemical expansion at TexAmericas Center, Texarkana region announced Jun 16 2026; operations expected 2027","Specialty chemicals maker adding a Texas polyols plant to its NJ base now has an active Maintenance Supervisor req; reactors and rail-served chemical operations at the NJ facility are the near-term monitoring target, with Texarkana to follow.",
ePac Flexible Packaging,Flexible Packaging (Digital),"Austin, TX","~1,200",,19,1,0,0,1,"1 relevant open role: Maintenance Technician (Lawrence, KS, confirmed active) | Expansion: New Phoenix facility (its largest) plus added capacity in Atlanta, Philadelphia and Vancouver, reported Mar 2026; $50M+ in new HP Indigo press installations","Fast-growing digital flexible-packaging network opening its largest plant and installing $50M of new presses; maintenance tech req active confirms the HP Indigo line requires dedicated maintenance coverage.",https://epacflexibles.com/careers/
Tovala,Food Processing (Meal Kits),"Chicago, IL",~400,,11,1,0,0,1,"1 relevant open role: Maintenance Supervisor (confirmed active on Lever; board at 11 total, up from 5) | Expansion: Build-to-suit food processing plant in Illinois; construction began Mar 2026, substantial completion expected late 2026 or early 2027","Smart-oven meal company building a dedicated processing plant for 2027 now has a Maintenance Supervisor req live; food-safety-critical lines plus a young ops org means CMMS standards can be set before day one.",https://jobs.lever.co/tovala
Swaggerty's Farm,Food Processing (Pork),"Kodak, TN",~250,,1,1,0,0,1,"1 relevant open role: Maintenance Technician (2nd/3rd shift, Kodak, TN; board at 1 total) | Expansion: 50,000 sq ft expansion of its Tennessee sausage plant with Southern Construction, reported May 2026","Family-owned pork sausage processor expanding its single Tennessee campus now has a Maintenance Technician req open on 2nd/3rd shift; USDA-regulated lines plus added capacity confirms maintenance hiring has started.",https://www.swaggertys.com/careers
NexForm Technologies (formerly Motus Fibers),Automotive Fiber Components,"Battle Creek, MI",~500,"Crest Rock Partners recapitalization; carve-out of Motus Integrated Technologies' Fiber Solutions segment, Mar 2026",0,0,1,0,0,"0 relevant open roles (board returned 0 total; domain may not be resolving) | Funding: Crest Rock Partners recapitalization; carve-out of Motus Integrated Technologies' Fiber Solutions segment, Mar 2026","Fresh PE carve-out (Mar 2026) standing up standalone operations with plants in the US and Mexico; new owners typically invest in operational excellence tools early. No roles visible - recheck once domain stabilizes.",https://www.crestrockpartners.com/news
Nortech Systems,Electronics Manufacturing (EMS),"Maple Grove, MN",~700,,5,0,0,1,0,"Leadership: Andrew Walko named SVP of Global Operations, Jan 6 2026","Public EMS manufacturer (NASDAQ: NSYS) with a brand-new global operations leader consolidating multi-site production in MN and beyond; new ops chiefs fund visibility tools early. No maintenance roles open at verification time.",https://www.nortechsys.com/careers
STULZ USA,HVAC / Data-Center Cooling Equipment,"Frederick, MD (parent: STULZ GmbH, Hamburg)",~250,,59,0,0,0,1,"Expansion: New ~300,000 sq ft manufacturing and innovation facility in Denton, TX announced May 5 2026, opening Spring 2027","Data-center cooling equipment maker doubling down on Texas manufacturing; a second Denton plant opening 2027 means new production assets to commission. No maintenance roles posted yet - watch as the plant staffs up.",https://careers-us.stulz.com
Profile Films,Plastics (Cast Film Extrusion),"Grand Rapids, MI",~120,,4,0,0,0,1,"Expansion: $53.7M, 97,000 sq ft cast-film facility in Grand Rapids, MI approved Jun 2026 ($5.1M city incentive); ~55 new jobs","Cast film extruder roughly doubling its footprint with a $53.7M plant; below the ICP size band today (~120 employees) but the expansion pushes it toward qualification - watch for maintenance hiring as construction advances.",https://profilefilms.com
